male_geno,gene,recep,number,rep
CyO,Obp56i,yes,9,1
CyO,Obp56i,no,20,1
KO,Obp56i,yes,8,1
KO,Obp56i,no,21,1
CyO,Obp56e,yes,2,1
CyO,Obp56e,no,18,1
KO,Obp56e,yes,4,1
KO,Obp56e,no,17,1
CyO,Obp56f,yes,6,1
CyO,Obp56f,no,22,1
KO,Obp56f,yes,4,1
KO,Obp56f,no,23,1
CyO,Obp51a,yes,6,1
CyO,Obp51a,no,16,1
KO,Obp51a,yes,9,1
KO,Obp51a,no,23,1
CyO,Obp22a,yes,1,1
CyO,Obp22a,no,18,1
KO,Obp22a,yes,2,1
KO,Obp22a,no,22,1
CyO,Obp8a,yes,8,1
CyO,Obp8a,no,21,1
KO,Obp8a,yes,0,1
KO,Obp8a,no,27,1
CyO,Obp56e,yes,1,2
CyO,Obp56e,no,18,2
KO,Obp56e,yes,0,2
KO,Obp56e,no,17,2
CyO,Obp51a,yes,1,2
CyO,Obp51a,no,14,2
KO,Obp51a,yes,3,2
KO,Obp51a,no,16,2
CyO,Obp56i,yes,3,2
CyO,Obp56i,no,11,2
KO,Obp56i,yes,1,2
KO,Obp56i,no,16,2
CyO,Obp22a,yes,0,2
CyO,Obp22a,no,9,2
KO,Obp22a,yes,1,2
KO,Obp22a,no,14,2
CyO,Obp56f,yes,4,2
CyO,Obp56f,no,11,2
KO,Obp56f,yes,3,2
KO,Obp56f,no,15,2
CyO,Obp8a,yes,10,2
CyO,Obp8a,no,8,2
KO,Obp8a,yes,2,2
KO,Obp8a,no,15,2
