vial,male_geno,mated,start,end,notes,plug
1,wt,Y,12:35,12:54,,N
2,kd,Y,11:55,12:18,,N
3,kd,Y,11:55,12:18,,N
4,kd,Y,11:55,12:23,,N
5,kd,Y,12:11,12:28,,N
6,kd,Y,12:31,12:51,,N
7,wt,Y,2:16,2:36,,Y
8,kd,Y,1:04,1:25,,N
9,kd,Y,12:07,12:28,,N
10,wt,Y,11:58,12:18,,Y
11,wt,Y,2:47,3:07,,Y
12,kd,Y,12:07,12:23,,N
13,wt,Y,12:14,12:35,,Y
14,kd,Y,11:58,12:18,,N
15,wt,Y,1:25,1:40,,Y
16,wt,Y,1:20,1:34,,Y
17,kd,Y,12:07,12:23,,N
18,wt,Y,1:46,2:04,,Y
19,wt,Y,1:50,2:09,,Y
20,wt,Y,12:35,12:51,,Y
21,wt,Y,12:31,12:58,,Y
22,kd,Y,11:58,12:23,,N
23,wt,Y,12:14,12:33,,Y
24,wt,Y,2:30,2:51,,Y
25,wt,Y,1:15,1:35,,Y
26,kd,Y,12:35,12:54,,Y
27,wt,Y,2:18,2:38,,Y
28,kd,Y,12:07,12:23,,N
29,kd,Y,12:11,12:33,,N
30,wt,Y,1:46,2:02,,Y
31,wt,Y,12:07,12:23,,Y
32,wt,Y,12:14,12:28,,Y
33,kd,Y,12:07,12:23,,N
34,kd,Y,12:23,12:48,,N
35,kd,Y,2:20,2:41,,N
36,wt,Y,1:06,1:25,,Y
37,wt,Y,3:49,4:07,,Y
38,kd,Y,12:11,12:28,,N
39,kd,Y,12:02,12:14,,N
41,kd,Y,12:11,12:31,,N
42,wt,Y,12:28,12:48,,Y
43,wt,Y,2:02,2:19,,Y
44,kd,Y,12:11,12:31,,N
45,kd,Y,12:14,12:35,,N
46,wt,Y,1:34,1:52,,Y
47,kd,Y,12:23,12:48,,N
48,wt,Y,1:20,1:35,,Y
49,wt,Y,1:25,1:35,,Y
50,wt,Y,12:40,12:54,,Y
51,kd,Y,1:46,2:04,,N
52,kd,Y,12:11,12:28,,N
54,wt,Y,3:59,4:16,,Y
56,wt,Y,2:57,3:11,,Y
57,kd,Y,12:14,12:35,,N
58,wt,Y,12:28,12:51,,Y
59,wt,Y,12:23,12:40,,Y
61,kd,Y,12:11,12:35,,N
