vial,male_geno,mated
1,KD,N
2,KD,N
3,KD,N
4,KD,N
5,KD,N
6,KD,Y
7,KD,Y
8,KD,Y
9,KD,Y
10,KD,Y
11,KD,Y
12,KD,Y
13,KD,Y
14,KD,Y
15,KD,Y
16,KD,Y
17,KD,Y
18,KD,Y
19,KD,Y
20,KD,Y
21,KD,Y
22,KD,Y
23,KD,Y
24,KD,Y
25,KD,Y
26,KD,Y
27,Control,Y
28,Control,Y
29,Control,Y
30,Control,Y
31,Control,Y
32,Control,Y
33,Control,N
34,Control,N
35,Control,N
36,Control,N
37,Control,N
38,Control,N
39,Control,N
40,Control,N
41,Control,N
42,Control,N
43,Control,N
44,Control,N
45,Control,N
46,Control,N
47,Control,N
48,Control,N
49,Control,N
50,Control,N
51,Control,N
52,Control,N
53,Control,N
54,Control,N
55,Control,N
56,Control,N
57,Control,N
58,Control,N
59,Control,N
